recordId,identifier,nb_occ
109,http://gallica.bnf.fr/ark:/12148/bpt6k9815955n,1
1091,http://gallica.bnf.fr/ark:/12148/bpt6k5259257,1
1092,http://gallica.bnf.fr/ark:/12148/bpt6k5545452z,1
1093,http://gallica.bnf.fr/ark:/12148/bpt6k5861162b,1
1097,http://gallica.bnf.fr/ark:/12148/bpt6k6242973d,1
1098,http://gallica.bnf.fr/ark:/12148/bpt6k5708993x,1
1099,http://gallica.bnf.fr/ark:/12148/bpt6k7611939d,1
11,http://gallica.bnf.fr/ark:/12148/bpt6k2671248,8
110,http://gallica.bnf.fr/ark:/12148/bpt6k7605373b,4
1101,http://gallica.bnf.fr/ark:/12148/bpt6k5656369q,2
1102,http://gallica.bnf.fr/ark:/12148/bpt6k5505344z,1
1103,http://gallica.bnf.fr/ark:/12148/bpt6k7584386m,1
1105,http://gallica.bnf.fr/ark:/12148/bpt6k6061819,1
1107,http://gallica.bnf.fr/ark:/12148/bpt6k7590045p,1
1108,http://gallica.bnf.fr/ark:/12148/bpt6k5789195h,1
1109,http://gallica.bnf.fr/ark:/12148/bpt6k279850r,1
111,http://gallica.bnf.fr/ark:/12148/bpt6k473751k,3
1112,http://gallica.bnf.fr/ark:/12148/bpt6k5819674c,1
1113,http://gallica.bnf.fr/ark:/12148/bpt6k776178h,2
1114,http://gallica.bnf.fr/ark:/12148/bpt6k5688609x,2
1119,http://gallica.bnf.fr/ark:/12148/bpt6k740745t,1
1120,http://gallica.bnf.fr/ark:/12148/bpt6k7637118w,2
1121,http://gallica.bnf.fr/ark:/12148/bpt6k6243060,1
1122,http://gallica.bnf.fr/ark:/12148/bpt6k55534516,1
1124,http://gallica.bnf.fr/ark:/12148/bpt6k97583843,1
1125,http://gallica.bnf.fr/ark:/12148/bpt6k6389339t,1
1126,http://gallica.bnf.fr/ark:/12148/bpt6k6457977c,3
1127,http://gallica.bnf.fr/ark:/12148/bpt6k6452298k,1
1128,http://gallica.bnf.fr/ark:/12148/bpt6k7718810,1
1129,http://gallica.bnf.fr/ark:/12148/bpt6k5724527v,1
113,http://gallica.bnf.fr/ark:/12148/bpt6k2312081,18
1130,http://gallica.bnf.fr/ark:/12148/bpt6k5486710t,1
1131,http://gallica.bnf.fr/ark:/12148/bpt6k5438451z,1
1132,http://gallica.bnf.fr/ark:/12148/bpt6k5502323v,1
1133,http://gallica.bnf.fr/ark:/12148/bpt6k5472738c,1
1134,http://gallica.bnf.fr/ark:/12148/bpt6k6385186j,1
1135,http://gallica.bnf.fr/ark:/12148/bpt6k7651391d,1
1137,http://gallica.bnf.fr/ark:/12148/bpt6k5571934b,1
1138,http://gallica.bnf.fr/ark:/12148/bpt6k76449840,1
1139,http://gallica.bnf.fr/ark:/12148/bpt6k75380888,1
114,http://gallica.bnf.fr/ark:/12148/bpt6k57906912,1
1140,http://gallica.bnf.fr/ark:/12148/bpt6k7606704s,1
1142,http://gallica.bnf.fr/ark:/12148/bpt6k57644711,1
1145,http://gallica.bnf.fr/ark:/12148/bpt6k57384575,6
1146,http://gallica.bnf.fr/ark:/12148/bpt6k7540117b,1
1147,http://gallica.bnf.fr/ark:/12148/bpt6k7538710q,1
115,http://gallica.bnf.fr/ark:/12148/bpt6k54889386,1
1150,http://gallica.bnf.fr/ark:/12148/bpt6k55048963,2
1152,http://gallica.bnf.fr/ark:/12148/bpt6k57000636,1
1153,http://gallica.bnf.fr/ark:/12148/bpt6k6355902s,1
1154,http://gallica.bnf.fr/ark:/12148/bpt6k7532822d,3
